activityId,startTimeLocal,Activity Type,distance_miles,duration_minutes,elapsedDuration_minutes,maxHR,averageRunningCadenceInStepsPerMinute,maxRunningCadenceInStepsPerMinute,steps,beginTimestamp,avgStrideLength,maxElevation,maxDoubleCadence,lapCount,endLatitude,endLongitude,minActivityLapDuration,fastestSplit_1000,fastestSplit_1609,hrTimeInZone_1,hrTimeInZone_2,hrTimeInZone_3,hrTimeInZone_4,hrTimeInZone_5,endTimeGMT,pr,fastestSplit_5000,Activity Type
20970996643,2025-11-12 12:02:22,treadmill_running,2.000006177318808,25.286433919270834,25.286433919270834,164.0,163.546875,171.0,4132.0,1762974142000,65.03440308070276,,171.0,2,,,576.655029296875,532.2620239257812,867.81201171875,26.0,12.0,278.0,967.0,0.0,2025-11-12 19:27:39,False,,treadmill_running
20963192131,2025-11-11 17:10:56,treadmill_running,2.0700039071238057,27.30598347981771,29.220316569010418,163.0,163.984375,174.0,4470.0,1762906256000,77.4064088907939,,174.0,3,,,114.35299682617188,451.1310119628906,729.9829711914062,112.0,272.0,277.0,964.0,0.0,2025-11-12 00:40:09,False,,treadmill_running
20950595427,2025-11-10 11:52:09,treadmill_running,2.000006177318808,25.581783040364584,25.581783040364584,174.0,162.640625,173.0,4188.0,1762800729000,76.28097834773119,,173.0,2,,,749.0549926757812,466.510986328125,759.2360229492188,46.0,55.0,265.0,495.0,524.0,2025-11-10 19:17:43,False,,treadmill_running
20933342874,2025-11-08 16:45:59,running,1.5388855604723832,19.956083170572917,20.113382975260418,175.0,160.40625,174.0,3258.0,1762645559000,77.38220449279005,1481.1090087890625,174.0,2,40.488934898748994,-111.99199673719704,419.54400634765625,452.35699462890625,758.7860107421875,0.0,0.0,211.0,802.0,184.0,2025-11-09 00:06:05,False,,running
20933247838,2025-11-08 16:38:13,running,0.4204642790896618,5.4672999064127605,6.267100016276042,155.0,156.1875,176.0,894.0,1762645093000,79.24242191080391,1481.6400146484375,176.0,1,40.487787164747715,-111.99015238322318,328.0379943847656,,,17.0,77.0,194.0,30.0,0.0,2025-11-08 23:44:29,False,,running
20922175173,2025-11-07 12:16:15,treadmill_running,2.000006177318808,28.495467122395834,28.495467122395834,173.0,159.0625,171.0,4530.0,1762542975000,83.70327133981723,,171.0,3,,,230.62600708007812,391.1860046386719,652.3660278320312,21.0,67.0,457.0,546.0,395.0,2025-11-07 19:44:44,False,,treadmill_running
20711906516,2025-10-16 17:31:48,running,2.002361204263083,30.15013427734375,30.7183837890625,160.0,132.34375,176.0,4064.0,1760657508000,80.88886451016772,1482.05810546875,176.0,3,40.494004944339395,-111.99572115205228,2.240000009536743,456.34100341796875,751.8319702148438,140.0,257.0,575.0,510.0,0.0,2025-10-17 00:02:31,False,,running
20641819220,2025-10-09 17:06:29,running,2.0036350487136807,30.910567220052084,31.376399739583334,154.0,140.90625,173.0,3790.0,1760051189000,73.98025565638277,1482.558349609375,173.0,3,40.49431214109063,-111.99572274461389,2.756999969482422,513.2349853515625,831.4600219726562,34.0,288.0,1371.0,146.0,0.0,2025-10-09 23:37:51,False,,running
20521691452,2025-09-27 21:32:19,running,6.003063197685076,75.82393391927083,77.3254638671875,174.0,159.71875,171.0,12140.0,1759030339000,79.7740523565409,1482.534912109375,171.0,7,40.486157052218914,-111.98832303285599,206.29600524902344,435.62799072265625,707.489990234375,14.0,155.0,1033.0,2947.0,388.0,2025-09-28 04:49:38,False,2260.4990234375,running
20499787093,2025-09-25 12:17:00,running,4.003106778729945,50.43299967447917,51.3530517578125,180.0,160.5,170.0,8120.0,1758824220000,79.58391194117455,1481.81640625,170.0,5,40.49443728290498,-111.99574093334377,1.6790000200271606,427.97198486328125,710.4349975585938,11.0,111.0,1115.0,619.0,1144.0,2025-09-25 19:08:21,False,2293.6689453125,running
